Word,ABBR,pronunciation,Meaning
آ,الف مد,, يوۋي باښ ښه- الف ممدوده تچاست- پْرېلاو مْتراݩ گېاس. عربي- دري- پښتو-نورستاني الفبا به نؤشتار باښ او.
آب ,ا,,  آو- سی ټؤک ته ږۉۋ- گۉن- اېروس نه اودسته او-تَشو ښا منښ پیاست. دؤ مټه اکسیجن – ی اِی مټه هاِیدروجن اېکݩتې ته- آو أدوشت اېاس. طبیعت که اۊچؤ او. بؤم پۉنډرو به تری مَټه آو دامیشته او. اڙݩ به پۉچ ویشي (۱۰۰) زَرَن که اؤښاس. سا زَرَنْ که گي شې تیاس. | ږۉۋ vẓū– رنگ. | اېروس eros– مزه- طعم. | زَرَنْ zarən– درجه. | سا sā– صِفر. 
آب , ص- اصط,بْ, دار-ميلته- وياݩس- عزت- بوسته مؤک چام ښه دي تچاست.
آباء , ع, , تَته اېلته- پَری تَته اېلتاݩ ښه تچاست.
آباد, ص,, اؤجې شته- سَرزېشته- دوشت پا تَيي شته- اویناشي شتو ښه تچاست. مثلاً:  اما- شال- تول- اَمي اؤجې شته-دوشت پا تَيي شته- اویناشي شته اوت. اَکاݩ ښه فارسي که آباد تچاست. | دوشت پا تَيي – دوشت پا تَۍ.
آبادان , ص, , دوشت پا تَيي-اؤجې شته- بوسته که اؤجې شته- تول گول اؤجۇݩ- سی ټاو ښه دي تچاست ته سېوۋ آو – ی یۉس تېاست- سېوۋ گي مجبي اوشتیک نیشیک ایچاست.
آبدار ,ص,, آو پڙکه سته.
آبداری , مص,, آو دَتۉݩ- تول آو دَتۉݩ- اؤناو آو دَتۉݩ. | اؤناوünāw  چمن.
آبدان ,ا,, شا- آو تَۇݩ باڼي ښه تچاست.
آباد بوم ,ا,, اؤجې شته ټاو- اؤجې شته گول-ایشتکاو نیدیلي گول تچېمیش.
آباد کردن ,مص,, دوشت پا تَۇݩ- دوشت پا تَۍ اوي نَشۉݩ-اما اوینشۉݩ. دوشت پا تَۍ= دوشت پا تَيي.
آباد کرده , ص, , اؤجې شته- اویناشي شته-دوشت پا تيي شته.
آباد گر, ص- فا,, اوي نَشله- اؤجوَله- سرزوَله-دوشت پا تَوَله .
آبادی,ا- ص,, دوشت پا تَيي- اؤجېشته - اویناشي شته- سَرزې شته.اصطلاح که دېش-ښار ښه دي تچاست.
آب انبار, ا, , ازا- آو اېښي باله ازا- تول به ازا- ډَمْرَه- آو ډَمْرَه.
آب انگور, ا,بِ, دراس به آو-دراس جۉښه- پَټۉکه شؤت ی چؤکرو ښه دي تچاست.
آب آورده, ص, , آو گۉراسته- سی ټؤک ښه تچاست ته تَشو آو کۍ وَړۉ گۉراسته تيڙ.
آب باز , ص- فا, , گۉجاݩ گر- سی منښ ښه تچاست ته سی گۉجاݩ بیاس- کۍ گي گۉجاݩ ږَمه او. | کۍ kai– یا- فکر-نظر-مفکوره. مثلاً:  کۉمه کۍ یۉݩ- یعنی نظر کسی را معلوم کردن.
آب بازی ,ا,, گۉجاݩ- گۉجاݩ بۉݩ- یاݩ بۉݩ.
آب بسته , ا,بَ , اشېݩ- اڇَمه- تروس- شی تینه سته آو .
آب بینی , ا,بِ, نَسۉ به آو- سی آو ته نَسۉ که بېر اېاس-چېښام.
آب پاش , ا,, سی لَتري ښه تچاست ته تَشو میلي پَسؤلیاݩ نه بالو کتي بؤم که آو ويږݩاست.
آب تلخ , ص, بِ- تَ , چؤکرو ښه تچاست. شراب ښه کنایه او.
آب تنی , ا, بْ- تَ , أجیت آو- أجیت آو دَتۉݩ- جیت پۊلۉݩ.
آب جامه , ا, , کټورېي-آو پيۉݩ باڼي- ښه تچاست.
آب جو ,ا, جَ , سی پیۉݩستو ښه تچاست ته تَشو یۉ پول به سرزېاست. سی گي وَشَمه پي ته أښېی گې چېټه ایچاس. | یۉ پولyu pol  جو-دانه های جو.
آب حیات , ا, بِ- حَ, اېک اؤنېس او وي- تَشو به آو کۉݩ پي ته- سی منښ سَرېݩ نه مرېاݩسُوي . خِضر پیغمبره سی آو پیشته او وي. آب حیات ښه آب خضر-آب زنده گي دي- تچاست.
آبخوار , ص- فا, , آو پیله- سی ته آو پیاس.
آبخواره- آبخوره , ا,, آو پیۉݩ باڼي- کۉمڙ- سی لَتري کۍ باڼي ته تَشو که آو پیاست- کۍ گي آو پیاݩ گېاس.
آبخور , ا, , آو تاݩ- سی ټاو ته سېوۋ آو اويچاست- کۍ گي آو پیاست.
آب خوراندن ,مص,, آو پیۇݩ- کي جن آو پیۇݩ-ښا آو پیۇݩ.
آب خوردن ,مص,, آو پیۉݩ.
آبخیز , ص,, آو اؤتال- آو وَشَمه باله.
آبخیزي , ص,, آو اؤتال-آو اؤتال تیۉݩ- آو وَشَمه بالو ښه تچاست.
آب دادن , مص,, آو پْرۉݩ- کي جن منښ کۍ گي چَته کؤره آو پْرۉݩ. | چَته کؤرهčatə kürə  چهار پا. کلمه چَته کؤره بیشتر برای حيوانات اهلي مانند گاو -گوسفند و بز به کاربرده می شود.
آب داده,ص- مف,, آو پرَتَه سته. مثلاً: آو پرَته سته شوش- کټَۍ- ترویلي اؤرنگه چیمو به شوش ته آو پْراݩ گېاست.
آبدار, اصط,, دار اوده- بوي بېرکڅئ سته-وياݩس بۊسته- وياݩس بېرکڅئ سته . مثلاً: دار اوده منښ تَچېمیش.
آب دار, ص,,آو اودسته- آو پْڙکسته- آو پْرَته تَرویلي ښه دي تچاست.
آبدان , ا,, آو تَوُݩ باڼي- آو سۊتَوُݩ باڼي. کلښه اما اتر شا که آو دمیاست.
آبدست-آب دست,ا, دَ,دوشت پا- اودس - دوشت پؤلۉݩ آو. پښتو به اودس باښ فارسي الا به آبدست که اویکوڙݩسته او .اودس که دوشتی کؤر دي پولېاست. آبدست یا اودس ښه يومه الا که پېډنگاو باښ- أدوشت پا او. جیت پؤلۉݩ ښه گي- أجیت آو- أجیت آو دَتۉݩ- تَچېمیش.
آبدست , ص, بْ- دَ, فارسی الا که کَره- ترَشپؤله بار ښه دي تچاست.
آبدوغ , ا, , وَشيپ- سی ټؤک ته تروڙ موڙکه وینوته- أدوشت اېاس .
آبده , ص- فا, دِ, آو پْراله جن- سی جن ته کۉݩ آو پْرېاس.
